loosing_hero_id_1,loosing_hero_id_2,loosing_hero_id_3,loosing_hero_id_4,loosing_hero_id_5,winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
64,76,77,83,102,5,51,65,70,75
16,39,56,65,86,26,29,58,77,93
15,16,53,78,79,29,31,43,67,101
3,9,29,47,56,13,64,68,82,102
4,47,59,62,105,7,52,57,81,91
7,11,29,30,106,27,48,51,66,95
17,27,90,94,100,7,9,39,72,99
15,41,55,71,86,46,51,64,70,88
10,44,50,87,97,22,39,85,86,95
7,8,29,37,74,27,65,71,75,114
3,8,16,58,88,7,10,69,74,87
20,25,47,72,99,9,13,21,41,87
4,16,18,68,97,31,63,69,76,107
10,38,48,57,96,4,35,37,84,99
55,58,80,81,91,12,52,61,65,79
47,53,54,66,86,13,33,49,76,89
2,30,50,74,94,20,26,35,36,93
11,48,57,70,108,6,10,31,74,84
12,26,57,61,70,16,41,49,76,79
11,30,51,87,95,2,7,26,39,44
1,3,55,74,89,13,54,72,86,92
11,12,50,68,96,35,40,89,97,99
8,29,39,50,64,2,26,82,93,101
25,28,46,54,62,8,57,76,86,107
7,36,49,50,67,8,11,26,29,62
26,34,41,48,57,8,9,23,67,98
8,57,76,87,111,22,41,50,107,109
3,41,84,93,98,11,28,54,75,86
11,14,27,55,68,9,30,83,96,106
16,41,51,68,76,28,50,55,65,100
6,20,42,48,55,9,21,64,69,78
20,21,51,68,95,7,25,26,47,63
25,60,71,72,87,7,20,67,76,112
6,26,35,53,87,11,50,77,86,99
9,16,45,68,114,29,36,60,87,109
13,20,26,29,35,17,30,72,85,112
2,7,50,61,94,11,25,79,89,110
3,11,28,92,98,5,9,31,65,69
9,48,69,74,79,26,39,47,82,102
29,47,71,81,95,4,14,20,36,44
2,12,26,34,110,17,20,38,67,87
51,60,83,89,90,27,29,34,58,77
18,34,86,99,110,2,7,17,26,95
8,20,28,47,104,9,18,55,76,84
7,64,77,78,98,15,29,42,53,101
7,13,94,101,103,15,43,78,88,92
23,26,47,92,99,18,69,76,79,88
7,17,31,35,65,2,25,41,50,110
27,43,52,65,77,2,20,33,35,74
22,53,56,67,71,7,41,75,84,106
13,65,89,90,92,11,53,57,78,101
34,38,86,101,104,14,29,30,47,87
13,48,68,69,86,40,43,65,67,88
49,51,74,86,87,23,29,82,99,112
3,48,51,92,93,8,40,49,80,86
2,32,57,59,75,9,43,69,84,99
20,22,30,56,65,15,16,39,51,93
8,17,26,57,66,15,39,55,62,87
30,44,68,76,97,16,35,55,90,98
42,52,62,85,86,2,4,33,37,39
18,27,43,51,101,20,41,64,74,95
6,35,40,87,107,27,44,63,84,96
6,11,84,86,98,2,10,34,50,71
6,11,29,31,92,42,46,84,96,101
22,30,69,84,103,4,29,31,35,41
41,51,64,89,103,77,79,92,93,96
8,49,55,100,112,7,11,17,23,50
26,28,52,56,88,2,49,84,93,102
9,16,44,103,106,13,15,20,33,104
26,32,55,98,109,34,54,62,65,111
26,28,29,74,114,35,37,99,104,107
8,29,71,76,87,37,44,48,65,111
22,25,30,51,67,1,2,3,26,35
20,23,35,95,97,6,7,40,64,112
19,29,43,101,102,26,53,56,69,76
